trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Close_Trend,Close_Seasonal,Close_Residual,CPI_Trend,CPI_Cycle,PPI_Trend,PPI_Cycle,PMI_Trend,PMI_Cycle,Log_Return,Daily_PCT_Change,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,Mean,EMA,Volatility,Long_Mean,Long_Volatility,CPI_Volatility,PPI_Volatility,PMI_Volatility,CPI_MoM,PPI_MoM,PMI_MoM,Lag_22,Lag_60,Return,Economic_Expansion,PMI_Price_Corr
2000-01-04,3374.110,3497.06,3512.300,3360.210,7344508.0,101.90,101.00,54.7,0.0,1.005311034319891,0.0,101.89034309470877,0.009656905291237194,101.00451958994843,-0.004519589948429825,54.700000000011485,-1.1482370609883219e-11,0.0,0.0,0.0,-0.8555252597436592,0,False,7344508.0,0.0,3497.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0
2000-01-05,3500.130,3486.29,3589.180,3468.690,9373897.0,101.90,101.00,54.7,0.0,1.0081798986812542,0.0,101.89067484981953,0.009325150180472974,101.00437603342785,-0.004376033427845982,54.70000000000739,-7.389644451905042e-12,-0.003084481957467289,-0.30797298302002174,0.27631381162631996,-0.8446559016580145,0,False,9373897.0,0.0,3496.0342857142855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.30797298302002174,0,0.0
2000-01-06,3475.460,3655.2,3663.220,3454.350,11240481.0,101.90,101.00,54.7,0.0,1.0047856219897189,0.0,101.8910072755487,0.008992724451303502,101.00423216304685,-0.004232163046850701,54.7000000000033,-3.296918293926865e-12,0.04731267772671642,4.844978472817796,0.1991257211381776,-0.8346585231894533,0,False,11240481.0,0.0,3511.192925170068,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.844978472817796,0,0.0
2000-01-07,3701.480,3828.04,3848.060,3701.480,29900112.0,101.90,101.00,54.7,0.0,1.0026138919135426,0.0,101.89134169009459,0.00865830990541383,101.0040873610538,-0.004087361053805694,54.69999999999921,7.958078640513122e-13,0.04620211158998365,4.728605821842868,1.6600384805596842,-0.734717993756705,0,False,29900112.0,0.0,3541.368837058633,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4.728605821842868,0,0.0
2000-01-10,3881.750,3921.48,3929.060,3832.200,26987104.0,101.90,101.00,54.7,0.0,0.997049297804514,0.0,101.89168003615023,0.008319963849771739,101.00394071579687,-0.003940715796872496,54.69999999999509,4.909850304102292e-12,0.024116210711418964,2.440935831391533,-0.09742465178725757,-0.7503199936977452,0,False,26987104.0,0.0,3577.5699001959056,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.440935831391533,0,0.0
2000-01-11,3924.710,3716.78,3931.080,3691.560,17572518.0,101.90,101.00,54.7,0.0,0.9983454632340791,0.0,101.89202485768016,0.007975142319850193,101.00379103177967,-0.0037910317796701065,54.69999999999095,9.052314453583676e-12,-0.05361143152167681,-5.2199679712761515,-0.34885499385187824,-0.800744287148679,0,False,17572518.0,0.0,3590.8280049391524,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-5.2199679712761515,0,0.0
2000-01-12,3699.290,3605.82,3768.140,3585.470,11408331.0,101.90,101.00,54.7,0.0,1.0029398208296818,0.0,101.89237927642424,0.0076207235757692615,101.00363683984504,-0.0036368398450434825,54.69999999998678,1.3223200312495464e-11,-0.03030849531673442,-2.985379818014522,-0.3507856415341273,-0.8337595226751727,0,False,11408331.0,0.0,3592.2558139925663,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-2.985379818014522,0,0.0
2000-01-13,3604.280,3580.98,3637.680,3552.050,7460482.0,101.90,101.00,54.7,0.0,1.0057212274939495,0.0,101.89274696795168,0.007253032048325281,101.00347640756976,-0.003476407569763751,54.699999999982616,1.738698074404965e-11,-0.006912700761330579,-0.6888863004808954,-0.3460496544148307,-0.8549041058226393,0,False,7460482.0,0.0,3591.1819269456555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.6888863004808954,0,0.0
2000-01-14,3582.160,3542.82,3609.190,3524.510,6150499.0,101.90,101.00,54.7,0.0,1.0074524391575086,0.0,101.89313213704865,0.006867862951352777,101.00330774997234,-0.0033077499723361825,54.6999999999785,2.1501023184100632e-11,-0.010713485778886095,-1.065630078916946,-0.1755895932729279,-0.8619203428836991,0,False,6150499.0,0.0,3586.5760291413076,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-1.065630078916946,0,0.0
2000-01-17,3535.510,3594.65,3597.770,3496.000,6185308.0,101.90,101.00,54.7,0.0,1.0034692833697347,0.0,101.89353949218405,0.006460507815958749,101.003128640654,-0.0031286406539976497,54.699999999974445,2.5558222205290804e-11,0.014523608802877239,1.462958885859278,0.005659540794982654,-0.8617339067270021,0,False,6185308.0,0.0,3587.344978746897,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.462958885859278,0,0.0
