Date,Actual,Predicted
2021-07-26,14630.850000000002,14909.369
2021-07-27,14093.64,14808.363
2021-07-28,14086.420000000002,14620.265
2021-07-29,14515.32,14489.351
2021-07-30,14473.21,14495.062
2021-08-02,14798.16,14495.228
2021-08-03,14736.92,14574.1455
2021-08-04,14990.110000000002,14617.499
2021-08-05,14872.230000000001,14703.104
2021-08-06,14827.41,14733.587
2021-08-09,14941.44,14741.099
2021-08-10,15057.590000000002,14755.534
2021-08-11,15021.17,14788.661
2021-08-12,14901.970000000001,14802.399
2021-08-13,14799.030000000002,14781.865
2021-08-16,14693.74,14737.792
2021-08-17,14350.65,14673.771
2021-08-18,14454.11,14538.391
2021-08-19,14487.360000000002,14453.352
2021-08-20,14253.53,14387.87
2021-08-23,14535.880000000001,14281.041
2021-08-24,14663.550000000001,14264.78
2021-08-25,14697.5,14275.389
2021-08-26,14415.46,14288.491
2021-08-27,14436.900000000001,14239.066
2021-08-30,14423.370000000003,14211.287
2021-08-31,14328.38,14191.99
2021-09-01,14314.09,14166.102
2021-09-02,14277.34,14154.409
2021-09-03,14179.860000000002,14141.233
2021-09-06,14546.600000000002,14118.565
2021-09-07,14702.9,14188.622
2021-09-08,14688.080000000002,14275.267
2021-09-09,14698.53,14339.743
2021-09-10,14771.870000000003,14390.104
2021-09-13,14705.830000000002,14438.948
2021-09-14,14626.08,14454.752
2021-09-15,14536.31,14442.598
2021-09-16,14258.130000000001,14405.362
2021-09-17,14359.36,14312.411
2021-09-22,14277.080000000002,14267.076
2021-09-23,14387.36,14211.863
2021-09-24,14357.850000000002,14198.977
2021-09-27,14344.290000000003,14183.579
2021-09-28,14313.82,14172.211
2021-09-29,14079.02,14156.28
2021-09-30,14309.01,14093.519
2021-10-08,14414.16,14103.513
2021-10-11,14367.6,14133.669
2021-10-12,14135.380000000001,14148.288
2021-10-13,14353.08,14113.215
2021-10-14,14341.38,14139.477
2021-10-15,14415.990000000003,14153.555
2021-10-18,14350.020000000002,14186.282
2021-10-19,14499.77,14199.747
2021-10-20,14452.25,14247.407
2021-10-21,14444.86,14275.306
2021-10-22,14492.820000000002,14299.922
2021-10-25,14596.720000000001,14332.373
2021-10-26,14552.820000000002,14379.648
2021-10-27,14393.509999999998,14409.363
2021-10-28,14244.82,14401.35
2021-10-29,14451.38,14367.198
2021-11-01,14476.53,14391.432
2021-11-02,14377.27,14416.044
2021-11-03,14367.780000000002,14415.487
2021-11-04,14555.270000000002,14412.173
2021-11-05,14462.62,14449.902
2021-11-08,14508.86,14456.786
2021-11-09,14571.93,14471.033
2021-11-10,14515.88,14492.069
2021-11-11,14699.740000000002,14469.779
2021-11-12,14705.370000000003,14495.793
2021-11-15,14636.390000000001,14511.261
2021-11-16,14613.97,14502.866
2021-11-17,14711.180000000002,14485.877
2021-11-18,14579.170000000002,14490.033
2021-11-19,14752.49,14468.866
2021-11-22,14960.660000000003,14496.857
2021-11-23,14905.13,14565.319
2021-11-24,14887.600000000002,14604.799
2021-11-25,14827.950000000003,14631.708
2021-11-26,14777.170000000002,14635.905
2021-11-29,14810.200000000003,14623.109
2021-11-30,14795.730000000001,14617.333
2021-12-01,14794.25,14615.583
2021-12-02,14765.56,14611.104
2021-12-03,14892.050000000001,14598.779
2021-12-06,14752.960000000001,14612.349
2021-12-07,14697.17,14584.486
2021-12-08,14964.46,14550.571
2021-12-09,15147.870000000004,14581.094
2021-12-10,15111.56,14648.636
2021-12-13,15212.490000000002,14686.28
2021-12-14,15136.780000000002,14732.791
2021-12-15,15026.210000000001,14743.825
2021-12-16,15112.81,14724.367
2021-12-17,14867.550000000001,14721.737
2021-12-20,14569.18,14665.135
2021-12-21,14688.98,14562.801
2021-12-22,14791.330000000002,14517.911
2021-12-23,14863.93,14509.724
2021-12-24,14710.33,14521.585
